rating,series_id,index_bank
12.0,188,"АО ""ОТП Банк"""
12.0,189,"АО ""ОТП Банк"""
12.0,190,"АО ""ОТП Банк"""
12.0,191,"АО ""ОТП Банк"""
12.0,192,"АО ""ОТП Банк"""
12.0,193,"АО ""ОТП Банк"""
12.0,194,"АО ""ОТП Банк"""
12.0,195,"АО ""ОТП Банк"""
12.0,196,"АО ""ОТП Банк"""
12.0,197,"АО ""ОТП Банк"""
12.0,198,"АО ""ОТП Банк"""
12.0,199,"АО ""ОТП Банк"""
14.0,200,"АО ""Райффайзенбанк"""
14.0,201,"АО ""Райффайзенбанк"""
14.0,202,"АО ""Райффайзенбанк"""
14.0,203,"АО ""Райффайзенбанк"""
14.0,204,"АО ""Райффайзенбанк"""
14.0,205,"АО ""Райффайзенбанк"""
14.0,206,"АО ""Райффайзенбанк"""
14.0,207,"АО ""Райффайзенбанк"""
14.0,208,"АО ""Райффайзенбанк"""
14.0,209,"АО ""Райффайзенбанк"""
14.0,210,"АО ""Райффайзенбанк"""
14.0,211,"АО ""Райффайзенбанк"""
13.0,212,"АО ""Россельхозбанк"""
13.0,213,"АО ""Россельхозбанк"""
13.0,214,"АО ""Россельхозбанк"""
13.0,215,"АО ""Россельхозбанк"""
13.0,216,"АО ""Россельхозбанк"""
13.0,217,"АО ""Россельхозбанк"""
13.0,218,"АО ""Россельхозбанк"""
13.0,219,"АО ""Россельхозбанк"""
13.0,220,"АО ""Россельхозбанк"""
13.0,221,"АО ""Россельхозбанк"""
13.0,222,"АО ""Россельхозбанк"""
13.0,223,"АО ""Россельхозбанк"""
13.0,224,"АО ""Россельхозбанк"""
7.0,225,"АО ""Солид Банк"""
7.0,226,"АО ""Солид Банк"""
7.0,227,"АО ""Солид Банк"""
7.0,228,"АО ""Солид Банк"""
7.0,229,"АО ""Солид Банк"""
7.0,230,"АО ""Солид Банк"""
7.0,231,"АО ""Солид Банк"""
7.0,232,"АО ""Солид Банк"""
7.0,233,"АО ""Солид Банк"""
7.0,234,"АО ""Солид Банк"""
8.0,235,"АО ""Солид Банк"""
8.0,236,"АО ""Солид Банк"""
8.0,237,"АО ""Солид Банк"""
8.0,238,"АО ""Солид Банк"""
9.0,239,"АО ""ТАТСОЦБАНК"""
9.0,240,"АО ""ТАТСОЦБАНК"""
9.0,241,"АО ""ТАТСОЦБАНК"""
9.0,242,"АО ""ТАТСОЦБАНК"""
9.0,243,"АО ""ТАТСОЦБАНК"""
9.0,244,"АО ""ТАТСОЦБАНК"""
9.0,245,"АО ""ТАТСОЦБАНК"""
9.0,246,"АО ""ТАТСОЦБАНК"""
9.0,247,"АО ""ТАТСОЦБАНК"""
9.0,248,"АО ""ТАТСОЦБАНК"""
9.0,249,"АО ""ТАТСОЦБАНК"""
9.0,250,"АО ""ТАТСОЦБАНК"""
9.0,251,"АО ""ТАТСОЦБАНК"""
9.0,252,"АО ""ТАТСОЦБАНК"""
12.0,253,"АО АКБ ""НОВИКОМБАНК"""
12.0,254,"АО АКБ ""НОВИКОМБАНК"""
12.0,255,"АО АКБ ""НОВИКОМБАНК"""
12.0,256,"АО АКБ ""НОВИКОМБАНК"""
12.0,257,"АО АКБ ""НОВИКОМБАНК"""
12.0,258,"АО АКБ ""НОВИКОМБАНК"""
12.0,259,"АО АКБ ""НОВИКОМБАНК"""
12.0,260,"АО АКБ ""НОВИКОМБАНК"""
9.0,261,"АО Банк ""Национальный стандарт"""
9.0,262,"АО Банк ""Национальный стандарт"""
9.0,263,"АО Банк ""Национальный стандарт"""
9.0,264,"АО Банк ""Национальный стандарт"""
9.0,265,"АО Банк ""Национальный стандарт"""
9.0,266,"АО Банк ""Национальный стандарт"""
9.0,267,"АО Банк ""Национальный стандарт"""
9.0,268,"АО Банк ""Национальный стандарт"""
9.0,269,"АО Банк ""Национальный стандарт"""
9.0,270,"АО Банк ""Национальный стандарт"""
9.0,271,"АО Банк ""Национальный стандарт"""
9.0,272,"АО Банк ""Национальный стандарт"""
9.0,273,"АО Банк ""Национальный стандарт"""
9.0,274,"АО Банк ""Национальный стандарт"""
8.0,275,"АО КБ ""Солидарность"""
8.0,276,"АО КБ ""Солидарность"""
8.0,277,"АО КБ ""Солидарность"""
8.0,278,"АО КБ ""Солидарность"""
8.0,279,"АО КБ ""Солидарность"""
8.0,280,"АО КБ ""Солидарность"""
8.0,281,"АО КБ ""Солидарность"""
8.0,282,"АО КБ ""Солидарность"""
8.0,283,"АО КБ ""Солидарность"""
8.0,284,"АО КБ ""Солидарность"""
8.0,285,"АО КБ ""Солидарность"""
8.0,286,"АО КБ ""Солидарность"""
8.0,287,"АО КБ ""Солидарность"""
8.0,288,"АО КБ ""Солидарность"""
8.0,289,"АО КБ ""ЮНИСТРИМ"""
13.0,290,АО РОСЭКСИМБАНК
13.0,291,АО РОСЭКСИМБАНК
13.0,292,АО РОСЭКСИМБАНК
13.0,293,АО РОСЭКСИМБАНК
